Name,A,B,CDHSi,G,D,CDHSs,CDHS,Cls
Kepler-613 b,0.9,0.1,2.1865,0.2,0.8,0.856,2.1732,non-habitable
Kepler-614 b,0.9,0.1,2.296,0.1,0.9,1.3842,2.2869,non-habitable
Kepler-615 b,0.9,0.1,1.668,0.2,0.8,0.6828,1.6581,non-habitable
Kepler-616 b,0.9,0.1,2.3377,0.1,0.9,1.7406,2.3317,non-habitable
Kepler-617 b,0.9,0.1,1.28,0.2,0.8,0.7686,1.2749,non-habitable
Kepler-619 c,0.9,0.1,1.6219,0.1,0.9,3.2553,1.6382,non-habitable
Kepler-621 b,0.9,0.1,2.2052,0.1,0.9,1.8392,2.2015,non-habitable
Kepler-622 b,0.9,0.1,2.0395,0.1,0.9,1.0323,2.0294,non-habitable
Kepler-624 b,0.9,0.1,2.2153,0.1,0.9,1.7437,2.2106,non-habitable
Kepler-625 b,0.9,0.1,1.9041,0.2,0.8,0.9792,1.8949,non-habitable
Kepler-625 c,0.9,0.1,1.0316,0.1,0.9,1.9525,1.0408,non-habitable
Kepler-626 b,0.9,0.1,2.1865,0.1,0.9,1.6083,2.1807,non-habitable
Kepler-629 b,0.9,0.1,1.3349,0.1,0.9,1.5695,1.3372,non-habitable
Kepler-632 b,0.9,0.1,2.1173,0.1,0.9,1.1096,2.1072,non-habitable
Kepler-633 b,0.9,0.1,1.5571,0.1,0.9,1.8583,1.5601,non-habitable
Kepler-634 b,0.9,0.1,1.8091,0.1,0.9,2.3249,1.8143,non-habitable
Kepler-638 b,0.9,0.1,1.7529,0.1,0.9,1.7951,1.7533,non-habitable
Kepler-639 b,0.9,0.1,2.2773,0.1,0.9,1.9432,2.274,non-habitable
Kepler-641 b,0.9,0.1,1.7716,0.1,0.9,1.7737,1.7716,non-habitable
Kepler-645 b,0.9,0.1,2.0006,0.1,0.9,2.6695,2.0073,non-habitable
Kepler-646 b,0.9,0.1,1.9041,0.1,0.9,1.4177,1.8992,non-habitable
Kepler-647 b,0.9,0.1,1.1334,0.1,0.9,1.4494,1.1366,non-habitable
Kepler-649 b,0.9,0.1,2.1663,0.1,0.9,1.2687,2.1573,non-habitable
Kepler-651 b,0.9,0.1,2.2672,0.1,0.9,1.3021,2.2575,non-habitable
Kepler-652 b,0.9,0.1,2.3982,0.1,0.9,2.0685,2.3949,non-habitable
Kepler-653 b,0.9,0.1,1.8667,0.1,0.9,1.6029,1.8641,non-habitable
Kepler-653 c,0.1,0.9,0.8069,0.1,0.9,3.1948,0.8308,non-habitable
Kepler-654 b,0.9,0.1,1.9819,0.1,0.9,1.6475,1.9786,non-habitable
Kepler-658 b,0.9,0.1,1.5571,0.1,0.9,1.8927,1.5605,non-habitable
Kepler-659 b,0.9,0.1,2.4082,0.1,0.9,1.196,2.3961,non-habitable
Kepler-662 b,0.9,0.1,2.0784,0.1,0.9,1.1029,2.0686,non-habitable
Kepler-666 b,0.9,0.1,2.3061,0.1,0.9,2.2841,2.3059,non-habitable
Kepler-672 b,0.9,0.1,2.4082,0.1,0.9,1.1613,2.3957,non-habitable
Kepler-674 b,0.9,0.1,1.6219,0.1,0.9,1.6299,1.622,non-habitable
Kepler-675 b,0.9,0.1,2.3478,0.1,0.9,2.1393,2.3457,non-habitable
Kepler-680 b,0.9,0.1,2.3262,0.1,0.9,2.4657,2.3276,non-habitable
Kepler-683 b,0.9,0.1,1.8854,0.1,0.9,2.4493,1.891,non-habitable
Kepler-691 b,0.9,0.1,1.9905,0.1,0.9,1.0257,1.9809,non-habitable
Kepler-705 b,0.8,0.2,1.9326,0.1,0.9,0.6242,1.9195,mesoplanet
Kepler-707 b,0.9,0.1,1.2887,0.1,0.9,2.0265,1.2961,non-habitable
Kepler-710 b,0.9,0.1,1.8004,0.1,0.9,2.0206,1.8026,non-habitable
Kepler-713 b,0.9,0.1,2.3867,0.1,0.9,1.9277,2.3821,non-habitable
Kepler-717 b,0.9,0.1,2.3262,0.1,0.9,2.0226,2.3232,non-habitable
Kepler-732 b,0.8,0.2,1.9907,0.1,0.9,0.9515,1.9803,non-habitable
Kepler-732 c,0.9,0.1,1.2337,0.1,0.9,1.6874,1.2382,non-habitable
Kepler-737 b,0.9,0.1,1.8753,0.1,0.9,0.7307,1.8639,non-habitable
