Name,A,B,CDHSi,Conv_i,G,D,CDHSs,Conv_s,CDHS,Cls
Kepler-288 b,0.9,0.1,1.6032,52,0.2,0.8,1.0616,51,1.5978,non-habitable
Kepler-289 b,0.8,0.2,1.737,50,0.1,0.9,1.1986,50,1.7316,non-habitable
Kepler-290 b,0.9,0.1,2.1562,50,0.1,0.9,1.2811,49,2.1474,non-habitable
Kepler-291 b,0.9,0.1,2.0683,49,0.1,0.9,2.3867,49,2.0715,non-habitable
Kepler-291 c,0.9,0.1,1.8004,49,0.1,0.9,2.0269,49,1.8027,non-habitable
Kepler-292 b,0.9,0.1,1.28,52,0.3,0.7,0.5293,49,1.2725,non-habitable
Kepler-292 c,0.9,0.1,1.4172,49,0.2,0.8,0.9753,52,1.4128,non-habitable
Kepler-292 d,0.9,0.1,2.136,49,0.1,0.9,1.684,49,2.1315,non-habitable
Kepler-292 f,0.9,0.1,2.2571,50,0.1,0.9,1.2528,49,2.2471,non-habitable
Kepler-294 b,0.8,0.2,1.6266,53,0.1,0.9,2.2203,52,1.6325,non-habitable
Kepler-295 b,0.9,0.1,1.1873,51,0.1,0.9,1.4163,49,1.1896,non-habitable
Kepler-295 c,0.8,0.2,1.1074,53,0.3,0.7,0.3361,49,1.0997,non-habitable
Kepler-295 d,0.9,0.1,1.3162,49,0.1,0.9,1.0848,49,1.3139,non-habitable
Kepler-296 b,0.8,0.2,0.9213,49,0.1,0.9,1.3116,49,0.9252,non-habitable
Kepler-296 c,0.9,0.1,2.0582,49,0.1,0.9,1.2963,49,2.0506,non-habitable
Kepler-296 d,0.9,0.1,2.1764,52,0.1,0.9,0.9384,49,2.164,non-habitable
Kepler-296 e,0.9,0.1,1.4273,50,0.1,0.9,0.6254,51,1.4193,mesoplanet
Kepler-296 f,0.7,0.3,1.5429,49,0.1,0.9,0.5057,50,1.5325,psychroplanet
Kepler-298 b,0.8,0.2,1.7942,49,0.1,0.9,1.1438,49,1.7877,non-habitable
Kepler-298 c,0.9,0.1,1.8465,49,0.1,0.9,0.9172,50,1.8372,non-habitable
Kepler-298 d,0.9,0.1,2.4082,50,0.1,0.9,0.7066,49,2.3912,mesoplanet
Kepler-299 b,0.9,0.1,1.28,50,0.4,0.6,0.2839,49,1.27,non-habitable
Kepler-299 d,0.7,0.3,1.6308,53,0.1,0.9,1.4862,50,1.6294,non-habitable
Kepler-299 e,0.9,0.1,1.7903,51,0.1,0.9,1.145,49,1.7838,non-habitable
Kepler-300 b,0.9,0.1,1.6032,51,0.2,0.8,0.864,49,1.5958,non-habitable
Kepler-300 c,0.9,0.1,2.1562,49,0.1,0.9,1.1558,50,2.1462,non-habitable
Kepler-301 b,0.7,0.3,1.2162,49,0.1,0.9,2.2983,49,1.227,non-habitable
Kepler-301 c,0.7,0.3,1.2162,50,0.2,0.8,0.946,50,1.2135,non-habitable
Kepler-301 d,0.9,0.1,1.6766,49,0.3,0.7,0.4388,49,1.6642,non-habitable
Kepler-303 b,0.9,0.1,0.8759,49,0.1,0.9,1.4073,49,0.8812,non-habitable
Kepler-303 c,0.9,0.1,1.1146,50,0.2,0.8,0.5415,53,1.1089,non-habitable
Kepler-304 c,0.9,0.1,2.0784,50,0.3,0.7,0.4937,50,2.0626,non-habitable
Kepler-304 e,0.9,0.1,1.1698,49,0.1,0.9,2.0152,49,1.1783,non-habitable
Kepler-306 b,0.8,0.2,1.4089,53,0.1,0.9,1.603,51,1.4108,non-habitable
Kepler-306 c,0.9,0.1,2.2571,52,0.3,0.7,0.5008,51,2.2395,non-habitable
Kepler-306 d,0.9,0.1,2.3679,49,0.1,0.9,1.2068,49,2.3563,non-habitable
Kepler-306 e,0.9,0.1,2.1764,49,0.1,0.9,0.915,49,2.1638,non-habitable
Kepler-307 b,0.9,0.1,2.0828,50,0.1,0.9,1.6255,49,2.0782,non-habitable
Kepler-307 c,0.9,0.1,1.8253,49,0.1,0.9,1.4694,50,1.8217,non-habitable
Kepler-308 b,0.9,0.1,2.0294,49,0.2,0.8,0.9496,53,2.0186,non-habitable
Kepler-308 c,0.9,0.1,2.0683,49,0.1,0.9,1.5027,52,2.0626,non-habitable
Kepler-309 b,0.9,0.1,1.5009,52,0.1,0.9,1.4352,52,1.5002,non-habitable
Kepler-310 b,0.9,0.1,1.1598,49,0.1,0.9,1.3695,49,1.1619,non-habitable
Kepler-310 d,0.9,0.1,2.3679,49,0.1,0.9,0.9204,51,2.3534,non-habitable
