Name,Cls,r,d,t,v,e,Rho,Eta,CEESA,Iter
Kepler-53 d,non-habitable,0.2187,0.2133,0.1658,0.3323,0.0699,0.7666,1,2.0115,90
Kepler-54 b,non-habitable,0.2011,0.0428,0.3941,0.3471,0.0149,0.8621,1,2.0416,89
Kepler-54 c,non-habitable,0.3503,0.068,0.3289,0.2318,0.0211,0.8354,1,1.2645,84
Kepler-54 d,non-habitable,0.0978,0.1872,0.476,0.2224,0.0166,0.9601,1,1.2924,85
Kepler-55 b,non-habitable,0.2094,0.3242,0.076,0.3522,0.0383,0.8351,1,2.2648,82
Kepler-55 c,non-habitable,0.137,0.4175,0.182,0.2444,0.0191,0.5274,1,1.7456,82
Kepler-55 d,non-habitable,0.1156,0.1507,0.3031,0.3209,0.1096,0.8704,1,1.774,74
Kepler-55 e,non-habitable,0.2047,0.0242,0.4889,0.0695,0.2126,0.8866,1,1.6016,82
Kepler-55 f,non-habitable,0.2128,0.1863,0.2631,0.3344,0.0034,0.3942,1,1.5715,90
Kepler-57 b,non-habitable,0.226,0.1113,0.2945,0.309,0.0592,0.8436,1,2.3381,88
Kepler-57 c,non-habitable,0.292,0.4052,0.0352,0.0372,0.2305,0.9567,1,225.2019,110
Kepler-58 b,non-habitable,0.1971,0.3069,0.1601,0.3051,0.0308,0.7342,1,10.2937,104
Kepler-58 c,non-habitable,0.4006,0.3955,0.115,0.0789,0.0099,0.9748,1,13.7268,106
Kepler-59 b,non-habitable,0.1413,0.505,0.1587,0.1453,0.0498,0.9302,1,241.8795,117
Kepler-59 c,non-habitable,0.1194,0.3581,0.0706,0.3193,0.1326,0.8054,1,21.7295,108
Kepler-60 b,non-habitable,0.4402,0.0943,0.4111,0.0346,0.0198,0.9787,1,2.5982,91
Kepler-60 c,non-habitable,0.248,0.1939,0.3778,0.1506,0.0297,0.574,1,2.0399,88
Kepler-60 d,non-habitable,0.0896,0.2271,0.283,0.2993,0.1011,0.9413,1,1.7045,91
Kepler-61 b,mesoplanet,0.1006,0.1823,0.1579,0.2172,0.3419,0.9843,1,6.1763,95
Kepler-62 b,non-habitable,0.327,0.0788,0.2344,0.3427,0.0171,0.7809,1,1.5374,86
Kepler-62 c,non-habitable,0.1556,0.3248,0.2971,0.1269,0.0957,0.6834,1,0.8964,85
Kepler-62 d,non-habitable,0.2083,0.3344,0.0997,0.3561,0.0015,0.6401,1,1.7716,81
Kepler-62 e,mesoplanet,0.0078,0.2128,0.4028,0.3705,0.0061,0.8117,1,1.2785,84
Kepler-62 f,psychroplanet,0.402,0.3912,0.1689,0.0104,0.0276,0.971,1,1.1115,77
Kepler-65 b,non-habitable,0.228,0.0559,0.3932,0.0173,0.3056,0.6072,1,2.8271,95
Kepler-65 c,non-habitable,0.0383,0.0013,0.3787,0.2733,0.3084,0.4889,1,4.0978,84
Kepler-65 d,non-habitable,0.2009,0.1276,0.2145,0.1344,0.3226,0.2809,1,2.9391,87
Kepler-68 b,non-habitable,0.3905,0.0191,0.4385,0.0186,0.1333,0.367,1,2.733,87
Kepler-68 c,non-habitable,0.0779,0.0268,0.1673,0.0068,0.7211,0.5628,1,16.3576,95
Kepler-69 b,non-habitable,0.1966,0.2008,0.1673,0.0692,0.3661,0.8642,1,4.6737,85
